system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id
Lagoon Sector FW-W d1-122,-467.75,-93.1875,4485.625,2500,Grothendieck Depot,Planetary Outpost,45,41894
Eagle Sector IR-W d1-105,-2046.21875,104.40625,6699.90625,25000,Selous Horizons,Coriolis Starport,3764,7329
HIP 16813,-57.03125,-143.375,-268.28125,2500,McDivitt Depot,Civilian Outpost,3904,12497
Antliae Sector IM-W d1-96,153.15625,47.4375,74.46875,131252,Davy Arsenal,Planetary Outpost,1663,11746
Scorpii Sector HR-W c1-21,24.28125,2.9375,146.28125,6911,Fozard Relay,Planetary Outpost,1270,46405
HR 1183,-72.875,-145.09375,-336.96875,1200000,Britnev Dock,Ocellus Starport,3645,16295
Col 285 Sector SJ-G c11-13,96.6875,31.53125,129.0625,301720,Sadi Carnot Observatory,Planetary Settlement,2280,37814
Col 285 Sector PY-R d4-100,-127.0625,49.1875,46.65625,29976971,Apgar Beacon,Planetary Settlement,2703,14334
HIP 48768,91.53125,104.4375,-65.03125,2593,McIntyre Prospect,Civilian Outpost,3064,27407
Aldebaran,1.4375,-22.40625,-62.75,15000,Werner von Siemens Dock,Ocellus Starport,262,8281
Lyncis Sector PY-R b4-2,-74.25,81.96875,-112.0625,71863,Utley Barracks,Planetary Outpost,896,73977
Lyncis Sector JR-W c1-13,-4.53125,54.125,-143,41425,Waldrop Enterprise,Planetary Port,,20653
HIP 16404,-122.46875,29,-136.34375,390,Coelho Beacon,Planetary Outpost,17,73665
Col 285 Sector OT-P c6-7,-33.375,153.34375,-96.40625,80,Dashiell Bastion,Planetary Outpost,147,26353
HIP 75024,-109.875,143.875,9.5,26927,Stirling's Inheritance,Planetary Outpost,841,46106
Veroa,49.09375,34.28125,-74.9375,150000,Brunel Colony,Civilian Outpost,10786,17515
Hyades Sector ST-Q b5-4,18.15625,-48.875,-164.125,45451,Metcalf Vision,Industrial Outpost,424,38597
Col 285 Sector CC-H b12-1,-24.8125,139.78125,-98.0625,38251,Morris Installation,Planetary Outpost,741,39829
Col 285 Sector YZ-C b14-1,147.4375,76.21875,-58.46875,56461,Bates Barracks,Planetary Outpost,4869,69931
Ceti Sector YJ-A c15,-8.1875,-118.9375,-101.0625,246061,Young Colony,Civilian Outpost,1903,843
HR 5991,56.09375,33.21875,166.375,155,Aksyonov Ring,Civilian Outpost,8290,25473
Grandmort,134.71875,13.71875,88.34375,442434,Aikin Terminal,Industrial Outpost,43689,2670
Col 285 Sector BA-P c6-19,157.46875,9.78125,-103.90625,16087,Ings Enterprise,Planetary Outpost,67,52737
Col 285 Sector UP-E c12-23,46.75,50.8125,168.9375,13757,Cleave Vision,Planetary Port,122,20256
Col 285 Sector UZ-O c6-12,-144.5,1.59375,-97.625,173954,Jones Observatory,Planetary Settlement,1456,73839
Scorpii Sector HR-W c1-25,18.65625,0.5625,172.40625,86940,Land Enterprise,Coriolis Starport,995,41861
HIP 17892,-70.75,-157.9375,-352.84375,1200000,Doctorow Horizons,Industrial Outpost,1889,40339
HIP 67863,134.84375,49.25,132.375,192345,Jones Base,Planetary Settlement,13269,36805
Hyades Sector JO-P b6-3,-122.21875,11.65625,-142.09375,100,Reed Point,Planetary Outpost,1735,70830
HIP 54844,50.09375,163.65625,-47.875,53426,Edmondson Mines,Mining Outpost,314,22487
Scorpii Sector HR-W c1-34,18.40625,11.34375,163.21875,48874,Extra Dock,Mining Outpost,80,22154
Hyades Sector FR-V c2-13,-20.40625,10.46875,-162.4375,535121,Messerschmitt Platform,Industrial Outpost,3275,9891
Col 285 Sector ZE-P c6-21,159.5,36.28125,-92.0625,17,Hoyle Base,Planetary Outpost,492,30853
Col 285 Sector XA-E c12-24,-68.28125,-72.5625,160.1875,29599,Hale Enterprise,Planetary Settlement,2559,56808
Hydrae Sector GW-W c1-19,126.84375,114.71875,65.875,331335,Tem Hub,Planetary Port,,
Col 285 Sector TZ-O c6-27,-166.375,-17.28125,-95.65625,181170,Kettle's Progress,Planetary Outpost,48,15625
HIP 10137,191.28125,-178.96875,97.40625,5094,Russell Mine,Mining Outpost,16,58882
Col 285 Sector UZ-O c6-9,-144.21875,-12.25,-87.71875,12,Thesiger Horizons,Planetary Settlement,3487,45408
Hyades Sector ST-Q b5-6,34,-56.1875,-154.53125,237672,Swigert City,Industrial Outpost,241,19206
HIP 15362,-12.34375,-130.09375,-151.5625,18583,Carpini Base,Planetary Outpost,3672,20863
HIP 78513,-18,101.625,149.03125,9963,Giclas Hub,Mining Outpost,179,44402
Arietis Sector ST-R b4-1,-70.46875,-89.15625,-107.21875,280262,Broglie Holdings,Planetary Outpost,82,5300
Arietis Sector BV-Y c7,-61.8125,-27.65625,-160.71875,68859,Hagihara's Progress,Planetary Outpost,,33486
Synuefe YK-N c23-8,277.46875,-123.625,-41.6875,3371,Hand Survey,Planetary Settlement,37,64258
Scorpii Sector FW-W c1-20,34.34375,27.46875,172.4375,107195,Aikin City,Coriolis Starport,58,48907
HIP 76713,99.625,-14.5,128.28125,1420779,Walz Survey,Industrial Outpost,1078,74858
HIP 21308,17.4375,-66.125,-148.625,324952,Hipparchus Settlement,Mining Outpost,429,44301
Hyades Sector GX-T c3-18,-105.71875,5,-127.4375,1126774,Russell Gateway,Planetary Outpost,141,3965
Col 285 Sector QE-M b22-3,102.34375,-20.625,121.25,641666,Youll Penal colony,Industrial Outpost,835,54166
Lyncis Sector OI-T b3-2,-101.53125,49.46875,-133.1875,63764,Crown Port,Industrial Outpost,83,17950
Arietis Sector OS-T b3-0,-39.5625,-81.59375,-144.15625,1521869,Dirichlet Laboratory,Planetary Outpost,1622,2283
Arietis Sector DQ-Y c19,-52.46875,-87.09375,-167.6875,120619,Hatanaka Port,Civilian Outpost,1827,210
HIP 19072,-54.28125,-121.03125,-323.0625,25000,Bellamy Installation,Planetary Outpost,,34117
Hyades Sector GX-T c3-25,-128.40625,-13.5,-133.9375,7064,Smith Bastion,Planetary Port,184,8333
63 Tauri,-2.375,-60.5,-151.09375,2673290,Gunn Beacon,Planetary Outpost,1033,35135
Hyades Sector OO-P b6-4,-5.5625,7.59375,-130.40625,133372152,Barmin's Inheritance,Planetary Settlement,10877,27815
Antliae Sector IM-W d1-127,154.21875,23.5,72.28125,363449,Macquorn Rankine's Inheritance,Planetary Outpost,,11787
CD-43 11917,18,-10.5625,78.125,250000,Klein Survey,Planetary Outpost,2569,42747
Col 285 Sector HD-I c10-13,-181.53125,42.15625,80.1875,1820,Narlikar Base,Planetary Outpost,387517,27814
Col 285 Sector TD-T d3-70,45.34375,-224.125,-85.9375,21099,Hand Legacy,Planetary Outpost,26,49133
Col 285 Sector ID-I c10-6,-113.21875,16,88.4375,466777,Napier's Folly,Planetary Outpost,251,32880
Pegasi Sector PX-T b3-5,-92.9375,-93.46875,-30.9375,6071316,Norman Arena,Mining Outpost,103,35413
HIP 72380,137.71875,-26.125,132.46875,9918,Cabral Orbital,Industrial Outpost,130,17354
Scorpii Sector CL-Y d100,6.21875,28.15625,161.84375,467197,RenenBellot Installation,Planetary Outpost,591,57369
HIP 15279,-14.53125,-137.78125,-160.78125,21,Searle Port,Planetary Outpost,398,18979
Col 285 Sector CH-K c9-17,-63.0625,127.21875,19.28125,7544873,Foreman Camp,Unknown Planetary,3801,17058
Hydrae Sector AQ-Y c11,50.5,101.875,42.21875,93854491,Burton Beacon,Planetary Outpost,,
HIP 24722,163.4375,-106.75,55.53125,807775,Pollas Holdings,Planetary Outpost,104,56826
HIP 93661,-47.125,-41.21875,172.875,601254,Salgari Enterprise,Planetary Outpost,1403,60099
Col 285 Sector OV-I b24-4,-51.96875,4.6875,162.125,992519,Asclepi Terminal,Mining Outpost,383414,14158
HIP 20541,-99.1875,12.09375,-184.4375,250,Rand Hub,Planetary Outpost,644,58729
Col 285 Sector RO-Q d5-54,32.8125,158.8125,85.8125,45081,Benford Hub,Planetary Outpost,,52781
HIP 101304,111.6875,-157.59375,192.5,993,Acaba Laboratory,Planetary Outpost,2613,51602
Piscium Sector BQ-Y b0,-68.8125,-66.25,-79.96875,35746101,Frost Terminal,Industrial Outpost,742,41485
Pegasi Sector CQ-Y d101,-103.3125,-72,-55.25,205956692,Velho Terminal,Planetary Port,51,49351
Hydrae Sector GW-W c1-12,128.5,97.28125,56.1875,84656,Wrangell Bastion,Planetary Port,781,55175
Wolf 366,95,128.75,-16.875,6424792,Yurchikhin City,Industrial Outpost,2263,6952
Volo,121.625,69.4375,-88.0625,1514,Alcala Terminal,Mining Outpost,762,46574
Vulganji,117.875,-12.5625,-73.0625,4577347,Hodgkin Platform,Mining Outpost,1319,20269
Warayu,98.25,124.8125,6.375,13357,Camarda Terminal,Mining Outpost,1415,8188
Washika,15.8125,-55.0625,120.09375,1933488,Soto Survey,Industrial Outpost,11,53177
Watis,-80.34375,0.09375,-104.03125,2480,Bordage Enterprise,Coriolis Starport,8998,67944
Yum Cimmeri,-81.03125,-99.71875,-47.6875,1468,Euclid Colony,Civilian Outpost,2380,5506
Wulwulan,-89.625,-76.09375,-127.8125,3502,Kopal Gateway,Coriolis Starport,126,4069
Uterna,-103.15625,-115.25,88.6875,2667,Viete Colony,Civilian Outpost,280126,5620
Wolf 1316,-19.375,-44.59375,-108.0625,204751,Scully-Power Terminal,Ocellus Starport,366,27495
Vasudevas,126.375,60.90625,42.03125,2588,Boming Port,Civilian Outpost,432,40744
Yutula,77.3125,-115.46875,145.625,4223,White Terminal,Coriolis Starport,977,16429
Vardine,51.09375,98.75,-116.84375,10382,Dunlop Dock,Civilian Outpost,2278,9046
Waventeno,24.375,-174.03125,-51.21875,18769,Schmitt Terminal,Mining Outpost,2528,26602
Wuthnir,-49.28125,122,-18.09375,34334,Orban Hub,Coriolis Starport,3065,5105
Wardovik,-55.75,-144.40625,1.40625,1480,Thompson Colony,Industrial Outpost,1120,9972
Yemanto,-94.53125,103.5625,-43.71875,12232,Garriott Colony,Civilian Outpost,82,73472
Zao Hi,-98.65625,-84.3125,-115.3125,1018,Oosterhoff Mine,Industrial Outpost,4620,59313
Zemete,-12.71875,-92,131.28125,11770,Bond Dock,Industrial Outpost,12155,13981
Yanebdjeri,159.875,-220.3125,38.6875,4046,Smith Dock,Mining Outpost,393,61942
Warakmbut,115.03125,-240.4375,38.46875,2610,Bulleid Beacon,Industrial Outpost,260,13221
Vendeges,96.875,-220.9375,-20.5625,3680,Grassmann Installation,Industrial Outpost,454638,40403
Vocorimpus,78.09375,-221.0625,118.75,7874,Archimedes Installation,Industrial Outpost,508,33283
Yin Yin,67.78125,129.75,-34.625,16525,Gorey Landing,Industrial Outpost,915,61909
Waikpoi,61.34375,-50.09375,139.75,3504,McCormick Colony,Industrial Outpost,58,5080
Wirnga,67.8125,-220.46875,64.21875,5706,Popov Colony,Civilian Outpost,11,4761
Upannoda,-15.96875,25.375,115.71875,1582,Dias Hub,Orbis Starport,852,20053
Yu Hai,-99.5,80.0625,-100.59375,1846,Fulton Dock,Industrial Outpost,1942,47947
Wembal,-119.09375,-67.6875,-14.375,1056,Malyshev Oasis,Commercial Outpost,334,3828
Vivas,-143.03125,37.4375,0.46875,3230,Andrews Platform,Mining Outpost,1305,2864
Zhaoxian,-61.90625,-104.40625,120.96875,1136,Curbeam Colony,Commercial Outpost,643,50937
Wally Berod,162.0625,-173.8125,127.9375,3239,Kurtz Colony,Mining Outpost,816,9052
Vendelia,-89.875,20.9375,126.75,1251,Makarov Station,Coriolis Starport,1335,11217
Wakal,-9.3125,-18.59375,135.9375,1712,Kanwar Orbital,Orbis Starport,420,4987
Wen Salla,-102.03125,-143.15625,77.96875,1165,Clark Hub,Civilian Outpost,15,60111
Yera,65.21875,-27.1875,-47.21875,1951,Michalitsianos Hub,Coriolis Starport,26,13795
Walmir,79.46875,-35.875,-36.21875,14017,Binney Station,Coriolis Starport,1770,9054
Uodiomam,77.125,-122.71875,171.46875,1773,Cousteau Port,Orbis Starport,1001,36055
Yu Tun,104.71875,-12.875,-32.25,2070,Chomsky Terminal,Civilian Outpost,10344,24968
Wallicheo,111.4375,-222.71875,-12.40625,4125,Curtis Colony,Industrial Outpost,131,54173
Yaqui,94.59375,-98.25,122.28125,4499,Shoemaker Platform,Industrial Outpost,314,27424
Varramool,8,160.375,-12.96875,18502,Stillman Station,Coriolis Starport,76,55811
Vacoch,-34.21875,-167.34375,72.0625,2442,Drexler Orbital,Civilian Outpost,49,55006
Wathlanukh,-149.21875,5.25,-60.6875,3014,Popovich Vision,Commercial Outpost,1190,28992
Varri,57.46875,-169.5625,-17.375,2268,Moisuc Refinery,Civilian Outpost,10863,14323
Warimpe,125.09375,-130.875,-86.125,4066,Kirtley Ring,Ocellus Starport,25,31638
Velebes,-144.71875,-89.65625,96.28125,3353,Finch Market,Coriolis Starport,690,75601
Wuonjungu,56.75,22.59375,-158.75,11029,Galois Orbital,Coriolis Starport,122,8152
Wu Ku,11.1875,64.375,114.71875,19865,Humboldt City,Orbis Starport,10308,28415
Wakam,88.09375,-30.90625,-94.59375,2214841,Gabriel Enterprise,Ocellus Starport,26,14900
Wheelg,131.65625,-154.25,-42.625,256069,Fernao do Po Orbital,Coriolis Starport,134,72215
Wongo,-129.90625,-61.5,74,1262,Opik Gateway,Industrial Outpost,11442,1110
Yavatas,175.5,-144.96875,23.90625,6382818,Banneker Dock,Ocellus Starport,23489,26745
Wong Mu,152.21875,-67.875,-77.875,2873,Malyshev Station,Civilian Outpost,1991,12944
Virangler,142.78125,-133.25,124.6875,1631,Black Station,Orbis Starport,600,1349
Zhongwe,124.9375,-94.71875,-11.875,3427,Simpson Port,Civilian Outpost,1290,13523
Windjet,152.25,-95.625,125.78125,5620,Butcher Station,Mining Outpost,21,48772
Wolf 1463,-74.09375,0.75,158.1875,1769,Lloyd Wright Terminal,Coriolis Starport,87,4242
Undini,-35.3125,151.65625,18.09375,5594,Morin Dock,Ocellus Starport,353,32862
Uncenii,-91.78125,171.8125,-48.90625,1067,Kubasov Terminal,Civilian Outpost,388475,60579
Vilia,161.5625,37.53125,56.5,6111,Isherwood Survey,Civilian Outpost,6466,2867
Uutagarama,150,-8.8125,-46.3125,10972,Hobaugh Terminal,Mining Outpost,110,10563
Wiljandiltu,117.34375,-187.28125,-57.125,2873,George Terminal,Industrial Outpost,276,8031
Xiri,32.125,-129.28125,101.875,132439,Alexander Ring,Industrial Outpost,1590,1515
Xelala,-76.5625,160.1875,-37.25,19041,Sopwith Enterprise,Coriolis Starport,181,75856
Almar,146.3125,-149.03125,-84.96875,1713,Yourkevitch Settlement,Planetary Outpost,331,49217
Yen Shesmu,-118.125,99.8125,26.59375,14083,Haisheng Colony,Coriolis Starport,8736,34540
Wodaabe,131.875,31.84375,-42.90625,1311313,McDivitt Terminal,Coriolis Starport,77,52249
Veditja,109.625,-83.6875,-65.84375,4730334,Naburimannu Terminal,Mining Outpost,413,3009
Zachigg,154.75,-87.6875,16,1896,Fancher Market,Orbis Starport,303,67565
Zac Matlan,122.46875,-234,51.75,4006,Glidden City,Civilian Outpost,3298,17801
Walakkaits,134.40625,-128.8125,-73.5,24821,Fowler Settlement,Industrial Outpost,198,33450
Yu Shor,126.6875,-160.6875,-21.78125,2900,Alexander Hub,Commercial Outpost,243,13841
Vaipuna,132.53125,-157.09375,-45.40625,3150974,Engle Mines,Mining Outpost,98,49417
Wepaw,95.125,-2.90625,27.34375,29841,Polansky Point,Industrial Outpost,295,6942
Yaure,3.3125,-119.3125,98.6875,3859,Corte-Real Horizons,Coriolis Starport,11215,63959
Un Nefer,-3.65625,-143.0625,57.90625,3052,Kwolek Mines,Mining Outpost,1486,26400
Viroluk,-17.96875,100.5,0.96875,2815,Ford Orbital,Coriolis Starport,1391,56682
Umathudti,-41.78125,-81.3125,-48.21875,14895,Lounge Enterprise,Industrial Outpost,93,16717
Vestet,-73.1875,-119.03125,-109.03125,11897,Smith Beacon,Civilian Outpost,1390,75668
Warungkambo,-104.59375,60.40625,60,2807443,Sugie Survey,Mining Outpost,3379,4839
Virseku,-130.34375,-97.9375,-35.6875,1163,Narita Hub,Civilian Outpost,1316,56205
Zagorites,69.96875,-39.03125,-68.65625,3760587,Sutcliffe Settlement,Civilian Outpost,14563,24306
Wuonoru,92.65625,-179.65625,113.84375,3684,van Houten Vision,Coriolis Starport,864,13568
Zaras,85.96875,127.4375,4.75,1688419,Beckman Port,Orbis Starport,69026,46993
Zurum,-42.75,-115.1875,120.65625,1397132,Riazuddin Orbital,Orbis Starport,211,52907
Wereti,-51.09375,-182.25,-28.59375,9010,Wheelock Orbital,Civilian Outpost,208,2485
Xuang,-120.34375,97.9375,92.46875,1331,Anderson Station,Industrial Outpost,59,9523
Wurun,221.78125,-157.6875,73.84375,6123,Born Ring,Orbis Starport,631,18265
Wuy jugun,116,-41.875,-12.09375,44497,Schilling Dock,Orbis Starport,1568,40289
Wu Kwannya,54.5625,-36.53125,-98.09375,17603,Waldrop City,Civilian Outpost,635,53512
Wunab,-84.625,-41.1875,-63.125,11330,Ender's Dream,Coriolis Starport,324,627
Vucay,167.78125,-167.03125,-2.25,3845,SMJL Central,Coriolis Starport,2356,75016
Wolf 393,29.65625,49.4375,-4.9375,30053,Moresby Dock,Coriolis Starport,75,38609
Yamari,82.15625,-258.75,-1.4375,8382,Timofeyevich Station,Coriolis Starport,230,16283
Veroklist,47.3125,-260.09375,73.5625,1760,Dyr Port,Coriolis Starport,224,42502
Wirdii,148.59375,-75.125,85.46875,4606,MacCurdy Hub,Civilian Outpost,11397,35969
Windadones,147.78125,-73.46875,119.5,2095,Hertzsprung Port,Industrial Outpost,207,59997
Yaksa,119.21875,-70.90625,-12.0625,2763,Lockhart Dock,Coriolis Starport,324,46328
Widjalp,-131.1875,-0.53125,78.84375,1229,Ockels Terminal,Coriolis Starport,485,31526
Vandar,48.78125,33.84375,-78.8125,25000,Macomb Dock,Civilian Outpost,1048,8099
Umaiali,129.90625,55.40625,107.15625,1838,Kerimov Colony,Ocellus Starport,699,75263
Whadicates,98.9375,-95.59375,81.8125,2465,Kovalyonok Hangar,Civilian Outpost,3024,37468
Vidattuns,-55.21875,-66.21875,33.34375,18501,Vlaicu Station,Coriolis Starport,96,4446
Walladals,-120.625,-22.59375,125.15625,2470,Bacon Station,Civilian Outpost,32617,6179
Waang,-112,-75.9375,-96.625,2541,Herreshoff Survey,Mining Outpost,11333,10395
Wangai,65.3125,-143.375,99.03125,2380639,Neumann Relay,Civilian Outpost,1234,30352
Wayica,19.96875,-210.6875,-47.09375,7775,Cuffey Orbital,Orbis Starport,327956,28024
Yanoi,1,-165.5,-94.21875,3025,Albitzky Platform,Coriolis Starport,1852,15049
Yum Chayuu,-14.65625,34.3125,135.96875,1935,Schmitt Horizons,Civilian Outpost,91,29270
Willionai,-135.5,-77.75,82.125,12837,MacLean Orbital,Civilian Outpost,27,51325
Vertsety,108.5,-28.875,78.28125,1939,Velazquez Station,Industrial Outpost,199,72618
Umpilakap,-48.28125,-27.875,-17.8125,28965,Thiele Point,Industrial Outpost,890,13444
Untun,103.5,-97.25,57.4375,4145,Sladek Station,Coriolis Starport,152764,68139
Uneligni,92.65625,48.78125,-168.90625,10104,Reamy Gateway,Ocellus Starport,573,20053
Sefrys,-55.75,-53,161.125,1500000,Reed Colony,Civilian Outpost,1224,69190
Uzumoxii,-2.28125,-33.15625,-86.84375,9703895,Cormack Holdings,Civilian Outpost,111,30353
Yun Dzacae,129,52.4375,69.0625,1217,von Zach Station,Industrial Outpost,35,27987
Zhao Gong,162.46875,-89.875,73.84375,1916,Ford Dock,Industrial Outpost,50,31491
Undin,-88.28125,-64.59375,-79.125,1342473,Voss Terminal,Industrial Outpost,52,8826
Wolf 1438,21.21875,88.90625,-2.40625,272306,Meikle Settlement,Civilian Outpost,609,3871
Wulgu,150.9375,-207.15625,48.84375,3516,Larson Survey,Industrial Outpost,56560,7591
Vasuki,101.40625,-239.71875,51.25,215528,White Market,Coriolis Starport,647,40744
Wilastsi,-84,-21.84375,-88.28125,17237,Helms Platform,Industrial Outpost,2662,35578
Wongaibon,31.5625,-118.34375,-72.90625,2571,Thagard Hub,Industrial Outpost,1063,12944
Yu Tikua,-2.1875,66.71875,98.71875,1618,Hennen Dock,Orbis Starport,648,15911
Vadimui,-2.90625,-144.09375,2.25,16277,Lopez de Haro Installation,Commercial Outpost,1386,29047
Te Kaha,-172.8125,13.3125,-154.625,100000,Lindbohm Retreat,Mining Outpost,781,18906
Warlaworka,12.125,-124.25,-24.78125,2214,Preuss' Claim,Civilian Outpost,90249,62289
Zhuaruparci,-43.59375,-69.46875,64.34375,1490,Brundage Vision,Industrial Outpost,121,23360
Ceos,-348.65625,13.875,-339.21875,100000,Horowitz Dock,Civilian Outpost,71977,17992
Takurua,-253.8125,-4.0625,-254.1875,100000,Efremov Dock,Industrial Outpost,1593,893
Almagest,-274.65625,-10.8125,-271.34375,100000,Shapiro Plant,Industrial Outpost,1242,893
Yu Shanwen,190.40625,-115.21875,-2.53125,1956,Crown Horizons,Commercial Outpost,1632,45384
Xpiyacoc,103.8125,-32,129.84375,5539,Arago Vision,Industrial Outpost,543,42318
Vendemo,-25.9375,-65.8125,-36.46875,6146621,Jun Station,Military Outpost,53,2864
Yami,-111.03125,103.65625,32.03125,14285,Lagrange City,Civilian Outpost,1051,60266
Vili,-11.03125,-114.09375,34.875,2362,Daimler Ring,Orbis Starport,27,46046
Wiyotset,-115.65625,-80.25,-63.53125,12705,Wohler Horizons,Coriolis Starport,14195,22220
Virset,-75.125,112.59375,45.09375,27870,Wilson Dock,Industrial Outpost,1733,69909
Woriosolis,-1.34375,106.84375,74.15625,908,Tomita Survey,Civilian Outpost,126,6423
Wasens,159.46875,-179.6875,57.8125,4877,Roelofs Station,Coriolis Starport,96,11598
Xuang Wa,119.65625,-104.71875,-37.125,1927,Bentham Terminal,Coriolis Starport,60,10488
Urabey,64.09375,-18.71875,-86.28125,20702,Higginbotham City,Civilian Outpost,99,30848
Vodyang,55.59375,-34.25,135.375,2554,Vardeman Holdings,Civilian Outpost,1168,602
LTT 9846,-89.84375,-271.96875,11.09375,65000,Nowak City,Scientific Outpost,1968,10423
Yurong,-91.46875,-123.5,-39.21875,3732,Fossum Ring,Ocellus Starport,76,19791
Winiama,37.96875,54.375,39.625,5932771,Burgess Colony,Industrial Outpost,7,48339
Waangamici,18.65625,-136.21875,1.5,4362,Asher Station,Industrial Outpost,227774,6496
Zoryacenuo,121.96875,-59.71875,28.78125,371514,Arisman Beacon,Mining Outpost,1042,18545
Wauksarra,-90.28125,-110.28125,4.59375,4134,Howard Works,Industrial Outpost,43000,1009
Vargerson,95.53125,-164.625,39.90625,750000,Ivanchenkov Terminal,Orbis Starport,78,21063
Yun Puggera,-14.59375,-124.71875,13.3125,45663,Scotti Vision,Ocellus Starport,590,32120
Yen Hsin,66.5625,-48.84375,59.78125,1946,Alvares Gateway,Coriolis Starport,888,10395
