system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id,stations_allegiance
HIP 48768,91.53125,104.4375,-65.03125,2593,McIntyre Prospect,Civilian Outpost,3064,Alliance,HIP 70470 Pro-Alliance Party 
Aldebaran,1.4375,-22.40625,-62.75,15000,Werner von Siemens Dock,Ocellus Starport,262,Independent,Halaye Order 
Lyncis Sector PY-R b4-2,-74.25,81.96875,-112.0625,71863,Utley Barracks,Planetary Outpost,896,Independent,Asoori Dragons 
Lyncis Sector JR-W c1-13,-4.53125,54.125,-143,41425,Waldrop Enterprise,Planetary Port,,Independent,Dominion of HIP 21459 
HIP 16404,-122.46875,29,-136.34375,390,Coelho Beacon,Planetary Outpost,17,Independent,Hurukuntak Company 
Col 285 Sector OT-P c6-7,-33.375,153.34375,-96.40625,80,Dashiell Bastion,Planetary Outpost,147,Independent,Mob of Bolon Tzu 
HIP 75024,-109.875,143.875,9.5,26927,Stirling's Inheritance,Planetary Outpost,841,Independent,Ts'in Gu Blue Galactic Industry 
Veroa,49.09375,34.28125,-74.9375,150000,Brunel Colony,Civilian Outpost,10786,Federation,CC Eri Ltd 
Hyades Sector ST-Q b5-4,18.15625,-48.875,-164.125,45451,Metcalf Vision,Industrial Outpost,424,Federation,HIP 33818 Industries 
Col 285 Sector CC-H b12-1,-24.8125,139.78125,-98.0625,38251,Morris Installation,Planetary Outpost,741,Federation,Green Party of Cybele 
Col 285 Sector YZ-C b14-1,147.4375,76.21875,-58.46875,56461,Bates Barracks,Planetary Outpost,4869,Federation,Independent HIP 20777 Values Party 
Ceti Sector YJ-A c15,-8.1875,-118.9375,-101.0625,246061,Young Colony,Civilian Outpost,1903,Empire,HIP 15357 Empire League 
HR 5991,56.09375,33.21875,166.375,155,Aksyonov Ring,Civilian Outpost,8290,Federation,Social Wulis for Equality 
Grandmort,134.71875,13.71875,88.34375,442434,Aikin Terminal,Industrial Outpost,43689,Empire,Mwamen Front 
Col 285 Sector BA-P c6-19,157.46875,9.78125,-103.90625,16087,Ings Enterprise,Planetary Outpost,67,Independent,New 70 Ophiuchi League 
Col 285 Sector UP-E c12-23,46.75,50.8125,168.9375,13757,Cleave Vision,Planetary Port,122,Federation,Ch'iang Fei Resistance 
Col 285 Sector UZ-O c6-12,-144.5,1.59375,-97.625,173954,Jones Observatory,Planetary Settlement,1456,Independent,Independent Shapsugabus for Equality 
Scorpii Sector HR-W c1-25,18.65625,0.5625,172.40625,86940,Land Enterprise,Coriolis Starport,995,Empire,Palekereg Central Systems 
HIP 17892,-70.75,-157.9375,-352.84375,1200000,Doctorow Horizons,Industrial Outpost,1889,Empire,Atuat Silver Electronics & Co 
HIP 67863,134.84375,49.25,132.375,192345,Jones Base,Planetary Settlement,13269,Independent,Wongi Defence Force 
Hyades Sector JO-P b6-3,-122.21875,11.65625,-142.09375,100,Reed Point,Planetary Outpost,1735,Independent,StKM 1-662 Services 
HIP 54844,50.09375,163.65625,-47.875,53426,Edmondson Mines,Mining Outpost,314,Empire,Chingpho Industry 
Scorpii Sector HR-W c1-34,18.40625,11.34375,163.21875,48874,Extra Dock,Mining Outpost,80,Independent,Cailli Co-operative 
Hyades Sector FR-V c2-13,-20.40625,10.46875,-162.4375,535121,Messerschmitt Platform,Industrial Outpost,3275,Empire,Kalikil Patron's Principles 
Col 285 Sector ZE-P c6-21,159.5,36.28125,-92.0625,17,Hoyle Base,Planetary Outpost,492,Federation,Lati Silver General Interstellar 
Col 285 Sector XA-E c12-24,-68.28125,-72.5625,160.1875,29599,Hale Enterprise,Planetary Settlement,2559,Empire,Cernunnos Blue Life Inc 
Hydrae Sector GW-W c1-19,126.84375,114.71875,65.875,331335,Tem Hub,Planetary Port,,,not known 
Col 285 Sector TZ-O c6-27,-166.375,-17.28125,-95.65625,181170,Kettle's Progress,Planetary Outpost,48,Independent,HIP 65636 Crimson Travel Ex 
HIP 10137,191.28125,-178.96875,97.40625,5094,Russell Mine,Mining Outpost,16,Independent,Patollo Jet Major Partners 
Col 285 Sector UZ-O c6-9,-144.21875,-12.25,-87.71875,12,Thesiger Horizons,Planetary Settlement,3487,Independent,Monarchy of Oluroana 
Hyades Sector ST-Q b5-6,34,-56.1875,-154.53125,237672,Swigert City,Industrial Outpost,241,Independent,Party of HIP 50032 
HIP 15362,-12.34375,-130.09375,-151.5625,18583,Carpini Base,Planetary Outpost,3672,Alliance,Social He Bo Revolutionary Party 
HIP 78513,-18,101.625,149.03125,9963,Giclas Hub,Mining Outpost,179,Independent,Daii Jet Council 
Arietis Sector ST-R b4-1,-70.46875,-89.15625,-107.21875,280262,Broglie Holdings,Planetary Outpost,82,Federation,Labour of GCRV 2743 
Arietis Sector BV-Y c7,-61.8125,-27.65625,-160.71875,68859,Hagihara's Progress,Planetary Outpost,,Empire,Shuitabraki Company 
Synuefe YK-N c23-8,277.46875,-123.625,-41.6875,3371,Hand Survey,Planetary Settlement,37,Independent,Chaaratisa for Equality 
Scorpii Sector FW-W c1-20,34.34375,27.46875,172.4375,107195,Aikin City,Coriolis Starport,58,Independent,CHIMERA 
HIP 76713,99.625,-14.5,128.28125,1420779,Walz Survey,Industrial Outpost,1078,Independent,Brazilian Armada X 
HIP 21308,17.4375,-66.125,-148.625,324952,Hipparchus Settlement,Mining Outpost,429,Independent,Social Koko Coalition 
Hyades Sector GX-T c3-18,-105.71875,5,-127.4375,1126774,Russell Gateway,Planetary Outpost,141,Empire,Ossian Empire League 
Col 285 Sector QE-M b22-3,102.34375,-20.625,121.25,641666,Youll Penal colony,Industrial Outpost,835,Empire,Kraualm Prison Colony 
Lyncis Sector OI-T b3-2,-101.53125,49.46875,-133.1875,63764,Crown Port,Industrial Outpost,83,Empire,HIP 46388 Patrons of Law 
Arietis Sector OS-T b3-0,-39.5625,-81.59375,-144.15625,1521869,Dirichlet Laboratory,Planetary Outpost,1622,Federation,Segon Exchange 
Arietis Sector DQ-Y c19,-52.46875,-87.09375,-167.6875,120619,Hatanaka Port,Civilian Outpost,1827,Empire,HIP 20727 Empire League 
HIP 19072,-54.28125,-121.03125,-323.0625,25000,Bellamy Installation,Planetary Outpost,,Independent,Ehlauneti Rats 
Hyades Sector GX-T c3-25,-128.40625,-13.5,-133.9375,7064,Smith Bastion,Planetary Port,184,Federation,Labour of Pices 
63 Tauri,-2.375,-60.5,-151.09375,2673290,Gunn Beacon,Planetary Outpost,1033,Independent,Ienpalang Drug Empire 
Hyades Sector OO-P b6-4,-5.5625,7.59375,-130.40625,133372152,Barmin's Inheritance,Planetary Settlement,10877,Empire,HIP 116710 Transport Network 
Antliae Sector IM-W d1-127,154.21875,23.5,72.28125,363449,Macquorn Rankine's Inheritance,Planetary Outpost,,Federation,BD+65 626 Incorporated 
CD-43 11917,18,-10.5625,78.125,250000,Klein Survey,Planetary Outpost,2569,Federation,Hyroku Interstellar 
Col 285 Sector HD-I c10-13,-181.53125,42.15625,80.1875,1820,Narlikar Base,Planetary Outpost,387517,Empire,Damona Defence Party 
Col 285 Sector TD-T d3-70,45.34375,-224.125,-85.9375,21099,Hand Legacy,Planetary Outpost,26,Independent,Hedetet First 
Col 285 Sector ID-I c10-6,-113.21875,16,88.4375,466777,Napier's Folly,Planetary Outpost,251,Independent,Traditional Cubere Bureau 
Pegasi Sector PX-T b3-5,-92.9375,-93.46875,-30.9375,6071316,Norman Arena,Mining Outpost,103,Independent,Nobles of Surtiong 
HIP 72380,137.71875,-26.125,132.46875,9918,Cabral Orbital,Industrial Outpost,130,Independent,HR 6269 Organisation 
Scorpii Sector CL-Y d100,6.21875,28.15625,161.84375,467197,RenenBellot Installation,Planetary Outpost,591,Independent,Obambivas Blue Pirates 
HIP 15279,-14.53125,-137.78125,-160.78125,21,Searle Port,Planetary Outpost,398,Independent,The Order of Mobius 
Col 285 Sector CH-K c9-17,-63.0625,127.21875,19.28125,7544873,Foreman Camp,Unknown Planetary,3801,Federation,Bukua for Equality 
Hydrae Sector AQ-Y c11,50.5,101.875,42.21875,93854491,Burton Beacon,Planetary Outpost,,,not known 
HIP 24722,163.4375,-106.75,55.53125,807775,Pollas Holdings,Planetary Outpost,104,Empire,Rishatkwali Life Partners 
HIP 93661,-47.125,-41.21875,172.875,601254,Salgari Enterprise,Planetary Outpost,1403,Independent,Seguaje Crimson Boys 
Col 285 Sector OV-I b24-4,-51.96875,4.6875,162.125,992519,Asclepi Terminal,Mining Outpost,383414,Empire,HIP 9769 Blue Netcoms Comms 
HIP 20541,-99.1875,12.09375,-184.4375,250,Rand Hub,Planetary Outpost,644,Independent,Autocracy of Murnakum 
Col 285 Sector RO-Q d5-54,32.8125,158.8125,85.8125,45081,Benford Hub,Planetary Outpost,,Independent,Social Goplang Democrats 
HIP 101304,111.6875,-157.59375,192.5,993,Acaba Laboratory,Planetary Outpost,2613,Independent,Rang Guans Cartel 
Piscium Sector BQ-Y b0,-68.8125,-66.25,-79.96875,35746101,Frost Terminal,Industrial Outpost,742,Empire,Kpannam Empire Assembly 
Pegasi Sector CQ-Y d101,-103.3125,-72,-55.25,205956692,Velho Terminal,Planetary Port,51,Independent,Majhia Blue Organisation 
Hydrae Sector GW-W c1-12,128.5,97.28125,56.1875,84656,Wrangell Bastion,Planetary Port,781,Federation,Inmutintien Free 
Wolf 366,95,128.75,-16.875,6424792,Yurchikhin City,Industrial Outpost,2263,Federation,Workers of Supay Progressive Party 
Volo,121.625,69.4375,-88.0625,1514,Alcala Terminal,Mining Outpost,762,Independent,Syndicate of Anagori 
Vulganji,117.875,-12.5625,-73.0625,4577347,Hodgkin Platform,Mining Outpost,1319,Alliance,Wolf 406 Transport & Co 
Warayu,98.25,124.8125,6.375,13357,Camarda Terminal,Mining Outpost,1415,Federation,Tan'gunni Organisation 
Washika,15.8125,-55.0625,120.09375,1933488,Soto Survey,Industrial Outpost,11,Independent,Movement for Chuang Mu Coalition 
Watis,-80.34375,0.09375,-104.03125,2480,Bordage Enterprise,Coriolis Starport,8998,Independent,Revolutionary Party of HIP 13291 
Yum Cimmeri,-81.03125,-99.71875,-47.6875,1468,Euclid Colony,Civilian Outpost,2380,Federation,30 Lyncis Interstellar 
Wulwulan,-89.625,-76.09375,-127.8125,3502,Kopal Gateway,Coriolis Starport,126,Empire,Gliese 724.2 Empire League 
Uterna,-103.15625,-115.25,88.6875,2667,Viete Colony,Civilian Outpost,280126,Empire,Loren's Legion 
Wolf 1316,-19.375,-44.59375,-108.0625,204751,Scully-Power Terminal,Ocellus Starport,366,Independent,LTT 11571 Federal Ltd 
Vasudevas,126.375,60.90625,42.03125,2588,Boming Port,Civilian Outpost,432,Independent,Traditional Awonai Autocracy 
Yutula,77.3125,-115.46875,145.625,4223,White Terminal,Coriolis Starport,977,Independent,HIP 43197 for Equality 
Vardine,51.09375,98.75,-116.84375,10382,Dunlop Dock,Civilian Outpost,2278,Empire,Narakwates Imperial Society 
Waventeno,24.375,-174.03125,-51.21875,18769,Schmitt Terminal,Mining Outpost,2528,Federation,Lalande 17161 Universal Partners 
Wuthnir,-49.28125,122,-18.09375,34334,Orban Hub,Coriolis Starport,3065,Empire,HIP 106442 Imperial Society 
Wardovik,-55.75,-144.40625,1.40625,1480,Thompson Colony,Industrial Outpost,1120,Independent,Epsilon Andromedae Council 
Yemanto,-94.53125,103.5625,-43.71875,12232,Garriott Colony,Civilian Outpost,82,Independent,Ostya Jet Transport Ltd 
Zao Hi,-98.65625,-84.3125,-115.3125,1018,Oosterhoff Mine,Industrial Outpost,4620,Empire,LP 764-39 Public Company 
Zemete,-12.71875,-92,131.28125,11770,Bond Dock,Industrial Outpost,12155,Alliance,HIP 71193 allied 
Yanebdjeri,159.875,-220.3125,38.6875,4046,Smith Dock,Mining Outpost,393,Empire,Stroopwaffen Corporation 
Warakmbut,115.03125,-240.4375,38.46875,2610,Bulleid Beacon,Industrial Outpost,260,Federation,Liberals of Ngauningin 
Vendeges,96.875,-220.9375,-20.5625,3680,Grassmann Installation,Industrial Outpost,454638,Federation,Manglal Transport Incorporated 
Vocorimpus,78.09375,-221.0625,118.75,7874,Archimedes Installation,Industrial Outpost,508,Federation,Elite German Commanders 
Yin Yin,67.78125,129.75,-34.625,16525,Gorey Landing,Industrial Outpost,915,Independent,Libertas Co-operative 
Waikpoi,61.34375,-50.09375,139.75,3504,McCormick Colony,Industrial Outpost,58,Federation,Independents of LTT 4461 
Wirnga,67.8125,-220.46875,64.21875,5706,Popov Colony,Civilian Outpost,11,Federation,Er Tche Confederation 
Upannoda,-15.96875,25.375,115.71875,1582,Dias Hub,Orbis Starport,852,Federation,HIP 29720 Allied Organisation 
Yu Hai,-99.5,80.0625,-100.59375,1846,Fulton Dock,Industrial Outpost,1942,Federation,Gold Dynamic Holdings 
Wembal,-119.09375,-67.6875,-14.375,1056,Malyshev Oasis,Commercial Outpost,334,Federation,Partnership of Ladabalbasa 
Vivas,-143.03125,37.4375,0.46875,3230,Andrews Platform,Mining Outpost,1305,Independent,Citizen Party of Chireni 
Zhaoxian,-61.90625,-104.40625,120.96875,1136,Curbeam Colony,Commercial Outpost,643,Federation,Alliance of Binjia 
Wally Berod,162.0625,-173.8125,127.9375,3239,Kurtz Colony,Mining Outpost,816,Empire,Bilobor Corporation 
Vendelia,-89.875,20.9375,126.75,1251,Makarov Station,Coriolis Starport,1335,Independent,Dark Echo 
Wakal,-9.3125,-18.59375,135.9375,1712,Kanwar Orbital,Orbis Starport,420,Independent,LTT 9391 Corporation 
Wen Salla,-102.03125,-143.15625,77.96875,1165,Clark Hub,Civilian Outpost,15,Federation,Liberals of LP 417-213 
Yera,65.21875,-27.1875,-47.21875,1951,Michalitsianos Hub,Coriolis Starport,26,Empire,Miroman Emperor's Grace 
Walmir,79.46875,-35.875,-36.21875,14017,Binney Station,Coriolis Starport,1770,Independent,Regulatory State of Piar 
Uodiomam,77.125,-122.71875,171.46875,1773,Cousteau Port,Orbis Starport,1001,Independent,Blue Major Holdings 
Yu Tun,104.71875,-12.875,-32.25,2070,Chomsky Terminal,Civilian Outpost,10344,Federation,Independents of GCRV 1568 
Wallicheo,111.4375,-222.71875,-12.40625,4125,Curtis Colony,Industrial Outpost,131,Empire,Kapurri Emperor's Grace 
Yaqui,94.59375,-98.25,122.28125,4499,Shoemaker Platform,Industrial Outpost,314,Empire,Rusan Imperial Society 
Varramool,8,160.375,-12.96875,18502,Stillman Station,Coriolis Starport,76,Federation,Baxbakaeris Interstellar 
Vacoch,-34.21875,-167.34375,72.0625,2442,Drexler Orbital,Civilian Outpost,49,Independent,Manaku Crimson Natural Limited 
Wathlanukh,-149.21875,5.25,-60.6875,3014,Popovich Vision,Commercial Outpost,1190,Federation,Urvantju Creative Holdings 
Varri,57.46875,-169.5625,-17.375,2268,Moisuc Refinery,Civilian Outpost,10863,Empire,East India Company 
Warimpe,125.09375,-130.875,-86.125,4066,Kirtley Ring,Ocellus Starport,25,Federation,Wilingura Natural Services 
Velebes,-144.71875,-89.65625,96.28125,3353,Finch Market,Coriolis Starport,690,Empire,Excellence Proven In Combat 
Wuonjungu,56.75,22.59375,-158.75,11029,Galois Orbital,Coriolis Starport,122,Independent,Liberals of Gaura 
Wu Ku,11.1875,64.375,114.71875,19865,Humboldt City,Orbis Starport,10308,Independent,Aseveljet 
Wakam,88.09375,-30.90625,-94.59375,2214841,Gabriel Enterprise,Ocellus Starport,26,Federation,LTT 9246 Purple Natural Co 
Wheelg,131.65625,-154.25,-42.625,256069,Fernao do Po Orbital,Coriolis Starport,134,Independent,Revolutionary Party of Tujila 
Wongo,-129.90625,-61.5,74,1262,Opik Gateway,Industrial Outpost,11442,Empire,HIP 113430 Commodities 
Yavatas,175.5,-144.96875,23.90625,6382818,Banneker Dock,Ocellus Starport,23489,Empire,Defence Force of HR 8793 
Wong Mu,152.21875,-67.875,-77.875,2873,Malyshev Station,Civilian Outpost,1991,Independent,Constitution Party of Kehperagwe 
Virangler,142.78125,-133.25,124.6875,1631,Black Station,Orbis Starport,600,Empire,Lausang Empire Party 
Zhongwe,124.9375,-94.71875,-11.875,3427,Simpson Port,Civilian Outpost,1290,Federation,Carpaka Central Industry 
Windjet,152.25,-95.625,125.78125,5620,Butcher Station,Mining Outpost,21,Independent,Traditional Fiden Focus 
Wolf 1463,-74.09375,0.75,158.1875,1769,Lloyd Wright Terminal,Coriolis Starport,87,Empire,Yenici Interstellar 
Undini,-35.3125,151.65625,18.09375,5594,Morin Dock,Ocellus Starport,353,Federation,United Auakereks Liberals 
Uncenii,-91.78125,171.8125,-48.90625,1067,Kubasov Terminal,Civilian Outpost,388475,Federation,Igae Crimson Energy Corporation 
Vilia,161.5625,37.53125,56.5,6111,Isherwood Survey,Civilian Outpost,6466,Independent,Ac Yanyamam Dynasty 
Uutagarama,150,-8.8125,-46.3125,10972,Hobaugh Terminal,Mining Outpost,110,Federation,HIP 91043 Co 
Wiljandiltu,117.34375,-187.28125,-57.125,2873,George Terminal,Industrial Outpost,276,Federation,Contegus Holdings 
Xiri,32.125,-129.28125,101.875,132439,Alexander Ring,Industrial Outpost,1590,Empire,Nut Empire League 
Xelala,-76.5625,160.1875,-37.25,19041,Sopwith Enterprise,Coriolis Starport,181,Independent,Oceanic Wing 
Almar,146.3125,-149.03125,-84.96875,1713,Yourkevitch Settlement,Planetary Outpost,331,Federation,Suchi Jet Vision Holdings 
Yen Shesmu,-118.125,99.8125,26.59375,14083,Haisheng Colony,Coriolis Starport,8736,Independent,Awara Independents 
Wodaabe,131.875,31.84375,-42.90625,1311313,McDivitt Terminal,Coriolis Starport,77,Federation,HIP 113355 Liberals 
Veditja,109.625,-83.6875,-65.84375,4730334,Naburimannu Terminal,Mining Outpost,413,Empire,Wen Chayuse Advanced Services 
Zachigg,154.75,-87.6875,16,1896,Fancher Market,Orbis Starport,303,Empire,Conservatives of Raluvii 
Zac Matlan,122.46875,-234,51.75,4006,Glidden City,Civilian Outpost,3298,Independent,47 Cassiopeiae Power Exchange 
Walakkaits,134.40625,-128.8125,-73.5,24821,Fowler Settlement,Industrial Outpost,198,Independent,Labour Union of Itzam Nara 
Yu Shor,126.6875,-160.6875,-21.78125,2900,Alexander Hub,Commercial Outpost,243,Empire,HIP 28869 Citizens of Tradition 
Vaipuna,132.53125,-157.09375,-45.40625,3150974,Engle Mines,Mining Outpost,98,Empire,Zara Nationals 
Wepaw,95.125,-2.90625,27.34375,29841,Polansky Point,Industrial Outpost,295,Independent,HIP 6943 Interstellar 
Yaure,3.3125,-119.3125,98.6875,3859,Corte-Real Horizons,Coriolis Starport,11215,Alliance,Independent Bhisas Revolutionary Party 
Un Nefer,-3.65625,-143.0625,57.90625,3052,Kwolek Mines,Mining Outpost,1486,Independent,Children of Raxxla 
Viroluk,-17.96875,100.5,0.96875,2815,Ford Orbital,Coriolis Starport,1391,Federation,HIP 28135 Industries 
Umathudti,-41.78125,-81.3125,-48.21875,14895,Lounge Enterprise,Industrial Outpost,93,Independent,Wilia Purple Natural Commodities 
Vestet,-73.1875,-119.03125,-109.03125,11897,Smith Beacon,Civilian Outpost,1390,Alliance,Ouroboros Holdings Corps 
Warungkambo,-104.59375,60.40625,60,2807443,Sugie Survey,Mining Outpost,3379,Empire,Kotandji Nationalists 
Virseku,-130.34375,-97.9375,-35.6875,1163,Narita Hub,Civilian Outpost,1316,Independent,League of Candiaei Freedom Party 
Zagorites,69.96875,-39.03125,-68.65625,3760587,Sutcliffe Settlement,Civilian Outpost,14563,Alliance,HIP 64761 Dynasty 
Wuonoru,92.65625,-179.65625,113.84375,3684,van Houten Vision,Coriolis Starport,864,Empire,LTT 9796 Jet Universal Corp 
Zaras,85.96875,127.4375,4.75,1688419,Beckman Port,Orbis Starport,69026,Independent,Natural Macalites Regulatory State 
Zurum,-42.75,-115.1875,120.65625,1397132,Riazuddin Orbital,Orbis Starport,211,Empire,Rangtei Patron's Principles 
Wereti,-51.09375,-182.25,-28.59375,9010,Wheelock Orbital,Civilian Outpost,208,Independent,Union Party of Nare 
Xuang,-120.34375,97.9375,92.46875,1331,Anderson Station,Industrial Outpost,59,Independent,Maridwyn Constitution Party 
Wurun,221.78125,-157.6875,73.84375,6123,Born Ring,Orbis Starport,631,Independent,Lalande 46867  Universal Inc 
Wuy jugun,116,-41.875,-12.09375,44497,Schilling Dock,Orbis Starport,1568,Independent,Huaich Independents 
Wu Kwannya,54.5625,-36.53125,-98.09375,17603,Waldrop City,Civilian Outpost,635,Federation,LHS 205 Corp. 
Wunab,-84.625,-41.1875,-63.125,11330,Ender's Dream,Coriolis Starport,324,Empire,Ys Silver Major Group 
